scientificName,vernacularName,phylum,class,order,family,WebLink,degreeOfEstablishment
Acacia cyclops,Coastal wattle,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ACCY2,invasive (category D2)
Acacia longifolia,Sydney golden wattle,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ACLO,invasive (category D2)
Acacia melanoxylon,Blackwood,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ACME,invasive (category D2)
Acer platanoides,Norway maple,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,https://plants.usda.gov/home/plantProfile?symbol=ACPL,widespread invasive (category E)
Acer pseudoplatanus,Sycamore maple,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,https://plants.usda.gov/home/plantProfile?symbol=ACPS,widespread invasive (category E)
Acorus calamus,Calamus,Tracheophyta,Magnoliopsida,Acorales,Acoraceae,https://plants.usda.gov/home/plantProfile?symbol=ACCA4,widespread invasive (category E)
Agropyron cristatum,Crested wheatgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGCR,widespread invasive (category E)
Agropyron desertorum,Desert wheatgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGDE2,widespread invasive (category E)
Agrostis capillaris,Colonial bentgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGCA5,widespread invasive (category E)
Agrostis gigantea,Redtop,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGGI2,widespread invasive (category E)
Agrostis stolonifera,Creeping bentgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AGST2,widespread invasive (category E)
Ailanthus altissima,Tree of heaven,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,https://plants.usda.gov/home/plantProfile?symbol=AIAL,widespread invasive (category E)
Albizia julibrissin,Silktree,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ALJU,widespread invasive (category E)
Aleurites moluccanus,Candlenut tree,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,https://plants.usda.gov/home/plantProfile?symbol=ALMO,invasive (category D2)
Alisma plantago-aquatica,European water plantain,Tracheophyta,Magnoliopsida,Alismatales,Alismataceae,https://plants.usda.gov/home/plantProfile?symbol=ALPL,widespread invasive (category E)
Alnus glutinosa,Black alder,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,https://plants.usda.gov/home/plantProfile?symbol=ALGL2,widespread invasive (category E)
Alopecurus arundinaceus,Creeping meadow foxtail,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ALAR,invasive (category D2)
Alopecurus geniculatus,Water foxtail,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ALGE2,widespread invasive (category E)
Alopecurus myosuroides,Slender meadow foxtail,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ALMY,invasive (category D2)
Alopecurus pratensis,Meadow foxtail,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ALPR3,widespread invasive (category E)
Alternanthera philoxeroides,Alligatorweed,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,https://plants.usda.gov/home/plantProfile?symbol=ALPH,widespread invasive (category E)
Ammophila arenaria,European beachgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AMAR4,invasive (category D2)
Arrhenatherum elatius,Tall oatgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AREL3,widespread invasive (category E)
Arundo donax,Giant reed,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ARDO4,widespread invasive (category E)
Astragalus cicer,Chickpea milkvetch,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ASCI4,widespread invasive (category E)
Atriplex nummularia,Bluegreen saltbush,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,https://plants.usda.gov/home/plantProfile?symbol=ATNU,invasive (category D2)
Atriplex semibaccata,Australian saltbush,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,https://plants.usda.gov/home/plantProfile?symbol=ATSE,widespread invasive (category E)
Avena fatua,Wild oat,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AVFA,widespread invasive (category E)
Avena sativa,Common oat,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=AVSA,widespread invasive (category E)
Bambusa vulgaris,Common bamboo,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BAVU2,invasive (category D2)
Bassia hyssopifolia,Fivehorn smotherweed,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,https://plants.usda.gov/home/plantProfile?symbol=BAHY,widespread invasive (category E)
Berberis julianae,Wintergreen barberry,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,https://plants.usda.gov/home/plantProfile?symbol=BEJU4,invasive (category D2)
Berberis thunbergii,Japanese barberry,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,https://plants.usda.gov/home/plantProfile?symbol=BETH,widespread invasive (category E)
Betula pendula,European white birch,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,https://plants.usda.gov/home/plantProfile?symbol=BEPE3,widespread invasive (category E)
Bothriochloa bladhii,Caucasian bluestem,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BOBL,invasive (category D2)
Bothriochloa pertusa,Pitted beardgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BOPE2,invasive (category D2)
Brassica juncea,Brown mustard,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,https://plants.usda.gov/home/plantProfile?symbol=BRJU,invasive (category D2)
Brassica napus,Rape,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,https://plants.usda.gov/home/plantProfile?symbol=BRNA,widespread invasive (category E)
Brassica rapa,Field mustard,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,https://plants.usda.gov/home/plantProfile?symbol=BRRA,widespread invasive (category E)
Briza maxima,Big quakinggrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BRMA,invasive (category D2)
Bromelia pinguin,Pinguin,Tracheophyta,Magnoliopsida,Poales,Bromeliaceae,https://plants.usda.gov/home/plantProfile?symbol=BRPI4,invasive (category D2)
Bromus arvensis,Field brome,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BRAR5,widespread invasive (category E)
Bromus briziformis,Rattlesnake brome,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BRBR5,invasive (category D2)
Bromus catharticus,Rescuegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BRCA6,widespread invasive (category E)
Bromus hordeaceus ssp. hordeaceus,Soft brome,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BRHOH,invasive (category D2)
Bromus rubens,Red brome,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=BRRU2,widespread invasive (category E)
Cajanus cajan,Pigeonpea,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=CACA27,invasive (category D2)
Caragana arborescens,Siberian peashrub,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=CAAR18,widespread invasive (category E)
Carex kobomugi,Japanese sedge,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,https://plants.usda.gov/home/plantProfile?symbol=CAKO2,invasive (category D2)
Carica papaya,Papaya,Tracheophyta,Magnoliopsida,Brassicales,Caricaceae,https://plants.usda.gov/home/plantProfile?symbol=CAPA23,widespread invasive (category E)
Casuarina cunninghamiana,River sheoak,Tracheophyta,Magnoliopsida,Fagales,Casuarinaceae,https://plants.usda.gov/home/plantProfile?symbol=CACU8,invasive (category D2)
Casuarina equisetifolia,Beach sheoak,Tracheophyta,Magnoliopsida,Fagales,Casuarinaceae,https://plants.usda.gov/home/plantProfile?symbol=CAEQ,invasive (category D2)
Casuarina glauca,Gray sheoak,Tracheophyta,Magnoliopsida,Fagales,Casuarinaceae,https://plants.usda.gov/home/plantProfile?symbol=CAGL11,invasive (category D2)
Celastrus orbiculatus,Oriental bittersweet,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,https://plants.usda.gov/home/plantProfile?symbol=CEOR7,widespread invasive (category E)
Cenchrus americanus,Pearl millet,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PEGL2,widespread invasive (category E)
Cenchrus ciliaris,Buffelgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PECI,widespread invasive (category E)
Cenchrus purpureus,Elephant grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PEPU2,invasive (category D2)
Cenchrus setaceus,Crimson fountaingrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PESE3,widespread invasive (category E)
Chloris gayana,Rhodes grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=CHGA2,invasive (category D2)
Chrysopogon zizanioides,False beardgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=VEZI80,invasive (category D2)
Cichorium intybus,Chicory,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=CIIN,widespread invasive (category E)
Cortaderia selloana,Uruguayan pampas grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=COSE4,widespread invasive (category E)
Cotoneaster horizontalis,Rockspray cotoneaster,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=COHO80,widespread invasive (category E)
Crataegus monogyna,Oneseed hawthorn,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=CRMO3,widespread invasive (category E)
Crotalaria juncea,Sunn hemp,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=CRJU,invasive (category D2)
Crotalaria spectabilis,Showy rattlebox,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=CRSP2,widespread invasive (category E)
Cryptomeria japonica,Japanese cedar,Tracheophyta,Pinopsida,Pinales,Cupressaceae,https://plants.usda.gov/home/plantProfile?symbol=CRJA3,widespread invasive (category E)
Cynodon dactylon,Bermudagrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=CYDA,widespread invasive (category E)
Cytisus scoparius,Scotch broom,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=CYSC4,widespread invasive (category E)
Dactylis glomerata,Orchardgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=DAGL,widespread invasive (category E)
Delonix regia,Royal poinciana,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=DERE,invasive (category D2)
Desmodium incanum,Tickclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=DEIN3,invasive (category D2)
Desmodium intortum,Greenleaf ticktrefoil,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=DEIN2,invasive (category D2)
Desmodium triflorum,Threeflower ticktrefoil,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=DETR4,invasive (category D2)
Dichanthium annulatum,Kleberg's bluestem,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=DIAN,widespread invasive (category E)
Dichanthium aristatum,Angleton bluestem,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=DIAR5,invasive (category D2)
Digitalis purpurea,Purple foxglove,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,https://plants.usda.gov/home/plantProfile?symbol=DIPU,widespread invasive (category E)
Digitaria eriantha,Digitgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=DIER,invasive (category D2)
Echinochloa colona,Jungle rice,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ECCO2,widespread invasive (category E)
Ehrharta calycina,Perennial veldtgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=EHCA,invasive (category D2)
Elaeagnus angustifolia,Russian olive,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,https://plants.usda.gov/home/plantProfile?symbol=ELAN,widespread invasive (category E)
Elaeagnus umbellata,Autumn olive,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,https://plants.usda.gov/home/plantProfile?symbol=ELUM,widespread invasive (category E)
Elymus repens,Quackgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ELRE4,widespread invasive (category E)
Eragrostis curvula,Weeping lovegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ERCU2,widespread invasive (category E)
Eragrostis lehmanniana,Lehmann lovegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ERLE,invasive (category D2)
Eragrostis superba,Wilman lovegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ERSU,invasive (category D2)
Eremochloa ophiuroides,Centipede grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=EROP,invasive (category D2)
Erodium botrys,Longbeak stork's bill,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,https://plants.usda.gov/home/plantProfile?symbol=ERBO,invasive (category D2)
Eucalyptus camaldulensis,River redgum,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,https://plants.usda.gov/home/plantProfile?symbol=EUCA2,invasive (category D2)
Eucalyptus globulus,Tasmanian bluegum,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,https://plants.usda.gov/home/plantProfile?symbol=EUGL,invasive (category D2)
Eucalyptus grandis,Grand eucalyptus,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,https://plants.usda.gov/home/plantProfile?symbol=EUGR12,invasive (category D2)
Eucalyptus robusta,Swampmahogany,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,https://plants.usda.gov/home/plantProfile?symbol=EURO2,invasive (category D2)
Euonymus fortunei,Winter creeper,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,https://plants.usda.gov/home/plantProfile?symbol=EUFO5,widespread invasive (category E)
Fagopyrum esculentum,Buckwheat,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,https://plants.usda.gov/home/plantProfile?symbol=FAES2,invasive (category D2)
Frangula alnus,Glossy buckthorn,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,https://plants.usda.gov/home/plantProfile?symbol=FRAL4,widespread invasive (category E)
Gliricidia sepium,Quickstick,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=GLSE2,invasive (category D2)
Grevillea robusta,Silkoak,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,https://plants.usda.gov/home/plantProfile?symbol=GRRO,invasive (category D2)
Hedera helix,English ivy,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,https://plants.usda.gov/home/plantProfile?symbol=HEHE,widespread invasive (category E)
Hemarthria altissima,African jointgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=HEAL5,invasive (category D2)
Hesperis matronalis,Dames rocket,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,https://plants.usda.gov/home/plantProfile?symbol=HEMA3,widespread invasive (category E)
Holcus lanatus,Common velvetgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=HOLA,widespread invasive (category E)
Hordeum vulgare,Common barley,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=HOVU,widespread invasive (category E)
Juglans regia,English walnut,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,https://plants.usda.gov/home/plantProfile?symbol=JURE80,widespread invasive (category E)
Koelreuteria paniculata,Goldenrain tree,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,https://plants.usda.gov/home/plantProfile?symbol=KOPA,widespread invasive (category E)
Kummerowia striata,Japanese clover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=KUST2,widespread invasive (category E)
Lablab purpureus,Hyacinthbean,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LAPU6,widespread invasive (category E)
Lagerstroemia indica,Crapemyrtle,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,https://plants.usda.gov/home/plantProfile?symbol=LAIN,widespread invasive (category E)
Larix decidua,European larch,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=LADE2,widespread invasive (category E)
Lathyrus latifolius,Perennial pea,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LALA4,widespread invasive (category E)
Lespedeza bicolor,Shrub lespedeza,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LEBI2,widespread invasive (category E)
Leucaena leucocephala,White leadtree,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LELE10,widespread invasive (category E)
Leucanthemum vulgare,Oxeye daisy,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=LEVU,widespread invasive (category E)
Leymus racemosus,Mammoth wildrye,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=LERA5,invasive (category D2)
