scientificName,vernacularName,phylum,class,order,family,WebLink,degreeOfEstablishment
Ligustrum japonicum,Japanese privet,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,https://plants.usda.gov/home/plantProfile?symbol=LIJA,widespread invasive (category E)
Ligustrum ovalifolium,California privet,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,https://plants.usda.gov/home/plantProfile?symbol=LIOV,widespread invasive (category E)
Ligustrum vulgare,European privet,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,https://plants.usda.gov/home/plantProfile?symbol=LIVU,widespread invasive (category E)
Lolium multiflorum,Annual ryegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=LOPEM2,widespread invasive (category E)
Lolium perenne,Perennial ryegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=LOPE,widespread invasive (category E)
Lolium rigidum,Wimmera ryegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=LORI,invasive (category D2)
Lonicera japonica,Japanese honeysuckle,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,https://plants.usda.gov/home/plantProfile?symbol=LOJA,widespread invasive (category E)
Lonicera maackii,Amur honeysuckle,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,https://plants.usda.gov/home/plantProfile?symbol=LOMA6,widespread invasive (category E)
Lonicera tatarica,Tatarian honeysuckle,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,https://plants.usda.gov/home/plantProfile?symbol=LOTA,widespread invasive (category E)
Lotus corniculatus,Garden bird's-foot-trefoil,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LOCO6,widespread invasive (category E)
Lotus uliginosus,Big trefoil,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LOPE80,invasive (category D2)
Lupinus angustifolius,Narrowleaf lupine,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LUAN4,invasive (category D2)
Lupinus luteus,European yellow lupine,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LULU80,invasive (category D2)
Mangifera indica,Mango,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,https://plants.usda.gov/home/plantProfile?symbol=MAIN3,widespread invasive (category E)
Manihot esculenta,Cassava,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,https://plants.usda.gov/home/plantProfile?symbol=MAES,widespread invasive (category E)
Manilkara zapota,Sapodilla,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,https://plants.usda.gov/home/plantProfile?symbol=MAZA,invasive (category D2)
Medicago lupulina,Black medick,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MELU,widespread invasive (category E)
Medicago polymorpha,Burclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEPO3,widespread invasive (category E)
Medicago sativa,Alfalfa,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MESA,widespread invasive (category E)
Megathyrsus maximus,Guineagrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=URMA3,widespread invasive (category E)
Melia azedarach,Chinaberrytree,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,https://plants.usda.gov/home/plantProfile?symbol=MEAZ,widespread invasive (category E)
Melicoccus bijugatus,Spanish lime,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,https://plants.usda.gov/home/plantProfile?symbol=MEBI,invasive (category D2)
Melilotus indicus,Annual yellow sweetclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEIN2,widespread invasive (category E)
Melilotus officinalis,Sweetclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEOF,widespread invasive (category E)
Miscanthus sinensis,Chinese silvergrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=MISI,widespread invasive (category E)
Morinda citrifolia,Indian mulberry,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,https://plants.usda.gov/home/plantProfile?symbol=MOCI3,invasive (category D2)
Morus alba,White mulberry,Tracheophyta,Magnoliopsida,Rosales,Moraceae,https://plants.usda.gov/home/plantProfile?symbol=MOAL,widespread invasive (category E)
Myosotis scorpioides,True forget-me-not,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,https://plants.usda.gov/home/plantProfile?symbol=MYSC,widespread invasive (category E)
Najas minor,Brittle waternymph,Tracheophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,https://plants.usda.gov/home/plantProfile?symbol=NAMI,widespread invasive (category E)
Nandina domestica,Sacred bamboo,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,https://plants.usda.gov/home/plantProfile?symbol=NADO,widespread invasive (category E)
Nerium oleander,Oleander,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,https://plants.usda.gov/home/plantProfile?symbol=NEOL,widespread invasive (category E)
Onobrychis viciifolia,Sainfoin legume,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ONVI,widespread invasive (category E)
Opuntia ficus-indica,Barbary fig,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,https://plants.usda.gov/home/plantProfile?symbol=OPFI,widespread invasive (category E)
Panicum antidotale,Blue panicum,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PAAN4,invasive (category D2)
Panicum coloratum,Kleingrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PACO2,invasive (category D2)
Panicum miliaceum,Proso millet,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PAMI2,widespread invasive (category E)
Parthenocissus tricuspidata,Boston ivy,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,https://plants.usda.gov/home/plantProfile?symbol=PATR6,widespread invasive (category E)
Paspalum dilatatum,Dallisgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PADI3,widespread invasive (category E)
Paspalum notatum var. saurae,Bahiagrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PANOS,widespread invasive (category E)
Paulownia tomentosa,Princess tree,Tracheophyta,Magnoliopsida,Lamiales,Paulowniaceae,https://plants.usda.gov/home/plantProfile?symbol=PATO2,widespread invasive (category E)
Persicaria hydropiper,Marshpepper knotweed,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,https://plants.usda.gov/home/plantProfile?symbol=POHY,widespread invasive (category E)
Persicaria maculosa,Spotted ladysthumb,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,https://plants.usda.gov/home/plantProfile?symbol=POPE3,widespread invasive (category E)
Phalaris aquatica,Bulbous canarygrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PHAQ,invasive (category D2)
Phleum pratense,Timothy grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PHPR3,widespread invasive (category E)
Picea abies,Norway spruce,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PIAB,widespread invasive (category E)
Pinus mugo,Mugo pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PIMU80,invasive (category D2)
Pinus nigra,Austrian pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PINI,widespread invasive (category E)
Pinus sylvestris,Scots pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PISY,widespread invasive (category E)
Pinus thunbergii,Japanese black pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PITH2,invasive (category D2)
Pittosporum tobira,Japanese cheesewood,Tracheophyta,Magnoliopsida,Apiales,Pittosporaceae,https://plants.usda.gov/home/plantProfile?symbol=PITO2,widespread invasive (category E)
Plantago major,Common plantain,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,https://plants.usda.gov/home/plantProfile?symbol=PLMA2,widespread invasive (category E)
Poa annua,Annual bluegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=POAN,widespread invasive (category E)
Poa bulbosa,Bulbous bluegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=POBU,widespread invasive (category E)
Poa compressa,Canada bluegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=POCO,widespread invasive (category E)
Poa trivialis,Rough bluegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=POTR2,widespread invasive (category E)
Podocarpus macrophyllus,Japanese yew,Tracheophyta,Pinopsida,Pinales,Podocarpaceae,https://plants.usda.gov/home/plantProfile?symbol=POMA32,invasive (category D2)
Polypogon monspeliensis,Annual rabbitsfoot grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=POMO5,widespread invasive (category E)
Populus alba,White poplar,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,https://plants.usda.gov/home/plantProfile?symbol=POAL7,widespread invasive (category E)
Potamogeton crispus,Curly pondweed,Tracheophyta,Magnoliopsida,Alismatales,Potamogetonaceae,https://plants.usda.gov/home/plantProfile?symbol=POCR3,widespread invasive (category E)
Prunus padus,European bird cherry,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=PRPA5,widespread invasive (category E)
Prunus tomentosa,Nanking cherry,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=PRTO80,widespread invasive (category E)
Psathyrostachys juncea,Russian wildrye,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PSJU3,widespread invasive (category E)
Psidium guajava,Guava,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,https://plants.usda.gov/home/plantProfile?symbol=PSGU,widespread invasive (category E)
Pyracantha coccinea,Scarlet firethorn,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=PYCO2,widespread invasive (category E)
Pyrus calleryana,Callery pear,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=PYCA80,widespread invasive (category E)
Ranunculus repens,Creeping buttercup,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,https://plants.usda.gov/home/plantProfile?symbol=RARE3,widespread invasive (category E)
Rorippa sylvestris,Creeping yellowcress,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,https://plants.usda.gov/home/plantProfile?symbol=ROSY,widespread invasive (category E)
Rosa rubiginosa,Sweetbriar rose,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=RORU82,widespread invasive (category E)
Rosa rugosa,Rugosa rose,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=RORU,widespread invasive (category E)
Rubus laciniatus,Cutleaf blackberry,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=RULA,widespread invasive (category E)
Salix alba,White willow,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,https://plants.usda.gov/home/plantProfile?symbol=SAAL2,widespread invasive (category E)
Salix pentandra,Laurel willow,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,https://plants.usda.gov/home/plantProfile?symbol=SAPE4,invasive (category D2)
Salix X sepulcralis,Weeping willow,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,https://plants.usda.gov/home/plantProfile?symbol=SASE10,widespread invasive (category E)
Saponaria officinalis,Bouncingbet,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,https://plants.usda.gov/home/plantProfile?symbol=SAOF4,widespread invasive (category E)
Schedonorus arundinaceus,Tall fescue,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=SCAR7,widespread invasive (category E)
Schedonorus pratensis,Meadow fescue,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=SCPR4,widespread invasive (category E)
Schinus terebinthifolia,Brazilian peppertree,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,https://plants.usda.gov/home/plantProfile?symbol=SCTE,invasive (category D2)
Secale cereale,Cereal rye,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=SECE,widespread invasive (category E)
Securigera varia,Crownvetch,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=SEVA4,widespread invasive (category E)
Senecio vulgaris,Old-man-in-the-spring,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=SEVU,widespread invasive (category E)
Setaria helvola,Yellow bristlegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=SEPU8,invasive (category D2)
Setaria italica,Foxtail millet,Tracheophyta,Liliopsidae,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=SEIT,widespread invasive (category E)
Solanum melongena,Eggplant,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,https://plants.usda.gov/home/plantProfile?symbol=SOME,widespread invasive (category E)
Sorbus aucuparia,European mountain ash,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=SOAU,widespread invasive (category E)
Sorghum bicolor,Sorghum,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=SOBI2,widespread invasive (category E)
Sorghum halepense,Johnsongrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=SOHA,widespread invasive (category E)
Sorghum X drummondii,Sudangrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=SOBID,invasive (category D2)
Spiraea japonica,Japanese meadowsweet,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,https://plants.usda.gov/home/plantProfile?symbol=SPJA,widespread invasive (category E)
Syringa vulgaris,Common lilac,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,https://plants.usda.gov/home/plantProfile?symbol=SYVU,widespread invasive (category E)
Syzygium cumini,Java plum,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,https://plants.usda.gov/home/plantProfile?symbol=SYCU,invasive (category D2)
Tamarindus indica,Tamarind,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=TAIN2,invasive (category D2)
Terminalia catappa,Tropical almond,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,https://plants.usda.gov/home/plantProfile?symbol=TECA,invasive (category D2)
Thespesia populnea,Portia tree,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,https://plants.usda.gov/home/plantProfile?symbol=THPO3,invasive (category D2)
Thinopyrum intermedium,Intermediate wheatgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=THIN6,widespread invasive (category E)
Trachelospermum jasminoides,Confederate jasmine,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,https://plants.usda.gov/home/plantProfile?symbol=TRJA,widespread invasive (category E)
Tragopogon dubius,Yellow salsify,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TRDU,widespread invasive (category E)
Tragopogon porrifolius,Salsify,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TRPO,widespread invasive (category E)
Trifolium hirtum,Rose clover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=TRHI4,invasive (category D2)
Trifolium hybridum,Alsike clover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=TRHY,widespread invasive (category E)
Trifolium incarnatum,Crimson clover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=TRIN3,widespread invasive (category E)
Trifolium pratense,Red clover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=TRPR2,widespread invasive (category E)
Trifolium repens,White clover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=TRRE3,widespread invasive (category E)
Trifolium subterraneum,Subterranean clover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=TRSU3,widespread invasive (category E)
Triticum aestivum,Common wheat,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=TRAE,widespread invasive (category E)
Ulmus pumila,Siberian elm,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,https://plants.usda.gov/home/plantProfile?symbol=ULPU,widespread invasive (category E)
Urochloa mutica,Para grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=URMU,invasive (category D2)
Vicia cracca,Bird vetch,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=VICR,widespread invasive (category E)
Vicia sativa,Garden vetch,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=VISA,widespread invasive (category E)
Vicia villosa,Winter vetch,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=VIVI,widespread invasive (category E)
Vinca minor,Common periwinkle,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,https://plants.usda.gov/home/plantProfile?symbol=VIMI2,widespread invasive (category E)
Vulpia myuros,Annual fescue,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=VUMY,widespread invasive (category E)
Zoysia matrella,Manila grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=ZOMA2,invasive (category D2)
Taraxacum officinale ssp. officinale,Common dandelion,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TAOF,widespread invasive (category E)
